Papel;Empresa;Setor;Subsetor;Cotação;Valor da Firma;Valor de Mercado;Número de Ações;P/L;Div. Yield;EV/EBITDA;EV/EBIT;ROE;ROIC;Lucro Líquido (ano)
GGBR4;GERDAU S.A. PN N1;Siderurgia e Metalurgia;Siderurgia;1968;48.271.500.000;33.842.900.000;1.719.660.000;3690;0,4;1190;2613;3,1;3,5;917.095.000
CSAN3;COSAN SA INDUSTRIA E COMERCIO ON;Alimentos;Açucar e Alcool;8336;43.136.900.000;32.861.300.000;394.210.000;3754;1,8;2586;2586;8,1;6,0;875.334.000
CCPR3;CYRELA COMMERCIAL PROPERTIES SA EMP PART ON;Exploração de Imóveis;Exploração de Imóveis;1552;3.294.480.000;2.461.190.000;158.582.000;3839;0,3;1162;1452;3,5;5,1;64.103.000
LCAM3;LOCAMERICA ON NM;Diversos;Aluguel de Carros;1987;13.557.400.000;10.108.400.000;508.729.000;4084;2,2;1174;2211;6,3;7,6;247.523.000
PCAR3;PÃO DE AÇÚCAR ON;Comércio e Distribuição;Alimentos;6465;27.253.900.000;17.347.900.000;268.336.000;4252;0,9;396;565;3,2;11,2;408.000.000
PNVL3;PANVEL FARMÁCIAS ON;Comércio e Distribuição;Medicamentos;2295;3.956.340.000;3.476.470.000;151.480.000;4463;0,4;1848;3429;14,6;10,3;77.894.000
PFRM3;PROFARMA ON NM;Comércio e Distribuição;Medicamentos;572;1.272.320.000;708.210.000;123.813.000;4516;0,0;403;696;1,6;8,6;15.683.000
WSON33;Wilson Sons DR3;Transporte;Serviços de Apoio e Armazenagem;3950;4.807.180.000;2.813.190.000;71.220.000;4853;2,9;751;751;2,5;13,8;57.966.000
RENT3;LOCALIZA RENT A CAR ON;Diversos;Aluguel de Carros;4897;45.202.400.000;37.142.100.000;758.467.000;4927;0,8;2106;3409;13,8;8,7;753.883.000
RADL3;RAIADROGASIL ON;Comércio e Distribuição;Medicamentos;10750;36.978.500.000;35.516.500.000;330.386.000;4979;0,6;1923;4217;17,6;8,5;713.289.000
RLOG3;COSAN LOG ON NM;Transporte;Transporte Ferroviário;2085;22.064.300.000;9.658.220.000;463.224.000;5003;0,0;588;1085;8,0;5,7;193.035.000
BRAP4;BRADESPAR S/A PN N1;Holdings Diversificadas;Holdings Diversificadas;4567;15.924.800.000;15.894.700.000;348.034.000;4998;1,8;-88530;-88530;2,9;-;318.002.000
VALE3;VALE ON NM;Mineração;Minerais Metálicos;6220;363.969.000.000;328.694.000.000;5.284.470.000;5130;2,3;459;574;3,4;17,0;6.407.460.000
BRML3;BR MALLS PARTICIPAÇÔES S/A ON;Exploração de Imóveis;Exploração de Imóveis;983;10.786.400.000;8.582.980.000;873.141.000;5203;0,0;1415;1465;1,6;4,2;164.948.000
